"county","tract","block","zcta","CountyName","ZIPName","hus20","afact"
"County code","Tract","Block","ZIP census tabulation area","County name","ZIP Code name","Total housing units (2020 Census)","block-to-zcta allocation factor"
"09001","0101.01","1000","06831","Fairfield CT","Greenwich, CT",6,1 
"09001","0101.01","1001","06831","Fairfield CT","Greenwich, CT",77,1 
"09001","0101.01","1002","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.01","1004","06831","Fairfield CT","Greenwich, CT",2,1 
"09001","0101.01","1005","06831","Fairfield CT","Greenwich, CT",20,1 
"09001","0101.01","1006","06831","Fairfield CT","Greenwich, CT",9,1 
"09001","0101.01","1007","06831","Fairfield CT","Greenwich, CT",71,1 
"09001","0101.01","1008","06831","Fairfield CT","Greenwich, CT",30,1 
"09001","0101.01","1009","06831","Fairfield CT","Greenwich, CT",26,1 
"09001","0101.01","1010","06831","Fairfield CT","Greenwich, CT",1,1 
"09001","0101.01","1011","06831","Fairfield CT","Greenwich, CT",12,1 
"09001","0101.01","1012","06831","Fairfield CT","Greenwich, CT",30,1 
"09001","0101.01","1013","06831","Fairfield CT","Greenwich, CT",30,1 
"09001","0101.01","1016","06831","Fairfield CT","Greenwich, CT",22,1 
"09001","0101.01","1017","06831","Fairfield CT","Greenwich, CT",6,1 
"09001","0101.01","1018","06831","Fairfield CT","Greenwich, CT",45,1 
"09001","0101.01","1019","06831","Fairfield CT","Greenwich, CT",67,1 
"09001","0101.01","1020","06831","Fairfield CT","Greenwich, CT",4,1 
"09001","0101.01","1021","06831","Fairfield CT","Greenwich, CT",105,1 
"09001","0101.01","1022","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.01","1023","06831","Fairfield CT","Greenwich, CT",5,1 
"09001","0101.01","1024","06831","Fairfield CT","Greenwich, CT",4,1 
"09001","0101.01","1025","06831","Fairfield CT","Greenwich, CT",19,1 
"09001","0101.01","2000","06831","Fairfield CT","Greenwich, CT",2,1 
"09001","0101.01","2001","06831","Fairfield CT","Greenwich, CT",56,1 
"09001","0101.01","4000","06831","Fairfield CT","Greenwich, CT",120,1 
"09001","0101.01","4002","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.01","4003","06831","Fairfield CT","Greenwich, CT",32,1 
"09001","0101.01","4004","06831","Fairfield CT","Greenwich, CT",2,1 
"09001","0101.01","4006","06831","Fairfield CT","Greenwich, CT",60,1 
"09001","0101.01","4007","06831","Fairfield CT","Greenwich, CT",4,1 
"09001","0101.01","4009","06831","Fairfield CT","Greenwich, CT",37,1 
"09001","0101.01","4010","06831","Fairfield CT","Greenwich, CT",43,1 
"09001","0101.01","4011","06831","Fairfield CT","Greenwich, CT",53,1 
"09001","0101.01","4012","06831","Fairfield CT","Greenwich, CT",27,1 
"09001","0101.01","4013","06831","Fairfield CT","Greenwich, CT",11,1 
"09001","0101.01","4015","06831","Fairfield CT","Greenwich, CT",19,1 
"09001","0101.01","4016","06831","Fairfield CT","Greenwich, CT",2,1 
"09001","0101.01","4017","06831","Fairfield CT","Greenwich, CT",5,1 
"09001","0101.01","4018","06831","Fairfield CT","Greenwich, CT",16,1 
"09001","0101.01","4019","06831","Fairfield CT","Greenwich, CT",4,1 
"09001","0101.01","4020","06831","Fairfield CT","Greenwich, CT",3,1 
"09001","0101.01","4021","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.01","4022","06831","Fairfield CT","Greenwich, CT",32,1 
"09001","0101.01","4023","06831","Fairfield CT","Greenwich, CT",16,1 
"09001","0101.01","4024","06831","Fairfield CT","Greenwich, CT",72,1 
"09001","0101.01","4025","06831","Fairfield CT","Greenwich, CT",16,1 
"09001","0101.01","4026","06831","Fairfield CT","Greenwich, CT",20,1 
"09001","0101.01","4027","06831","Fairfield CT","Greenwich, CT",11,1 
"09001","0101.01","5000","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.01","5001","06831","Fairfield CT","Greenwich, CT",34,1 
"09001","0101.01","5002","06831","Fairfield CT","Greenwich, CT",22,1 
"09001","0101.01","5003","06831","Fairfield CT","Greenwich, CT",54,1 
"09001","0101.01","5004","06831","Fairfield CT","Greenwich, CT",1,1 
"09001","0101.01","5005","06831","Fairfield CT","Greenwich, CT",14,1 
"09001","0101.01","5006","06831","Fairfield CT","Greenwich, CT",16,1 
"09001","0101.01","5007","06831","Fairfield CT","Greenwich, CT",11,1 
"09001","0101.01","5008","06831","Fairfield CT","Greenwich, CT",12,1 
"09001","0101.01","5009","06831","Fairfield CT","Greenwich, CT",24,1 
"09001","0101.01","5010","06831","Fairfield CT","Greenwich, CT",32,1 
"09001","0101.01","5011","06831","Fairfield CT","Greenwich, CT",6,1 
"09001","0101.01","5012","06831","Fairfield CT","Greenwich, CT",38,1 
"09001","0101.01","5013","06831","Fairfield CT","Greenwich, CT",13,1 
"09001","0101.01","5014","06831","Fairfield CT","Greenwich, CT",49,1 
"09001","0101.01","5016","06831","Fairfield CT","Greenwich, CT",93,1 
"09001","0101.01","5017","06831","Fairfield CT","Greenwich, CT",3,1 
"09001","0101.02","1000","06831","Fairfield CT","Greenwich, CT",4,1 
"09001","0101.02","1001","06831","Fairfield CT","Greenwich, CT",18,1 
"09001","0101.02","1002","06831","Fairfield CT","Greenwich, CT",34,1 
"09001","0101.02","1003","06831","Fairfield CT","Greenwich, CT",9,1 
"09001","0101.02","1004","06831","Fairfield CT","Greenwich, CT",37,1 
"09001","0101.02","1005","06831","Fairfield CT","Greenwich, CT",6,1 
"09001","0101.02","1006","06831","Fairfield CT","Greenwich, CT",5,1 
"09001","0101.02","1007","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.02","1008","06831","Fairfield CT","Greenwich, CT",7,1 
"09001","0101.02","1009","06831","Fairfield CT","Greenwich, CT",29,1 
"09001","0101.02","1010","06831","Fairfield CT","Greenwich, CT",3,1 
"09001","0101.02","1011","06831","Fairfield CT","Greenwich, CT",8,1 
"09001","0101.02","1012","06831","Fairfield CT","Greenwich, CT",3,1 
"09001","0101.02","1013","06831","Fairfield CT","Greenwich, CT",6,1 
