"county","cousub20","state","place","stab","CountyName","MCDName","PlaceName","hus20","afact"
"County code","County subdivision (2020)","State code","Place code","State abbr.","County name","County subdivision / MCD name","Place name","Total housing units (2020 Census)","cousub20-to-place allocation factor"
"29001","04546","29","39026","MO","Adair MO","Benton township, Adair MO","Kirksville city, MO",7814,0.8953 
"29001","04546","29","99999","MO","Adair MO","Benton township, Adair MO","[not in a place]",914,0.1047 
"29001","14248","29","99999","MO","Adair MO","Clay township, Adair MO","[not in a place]",267,1 
"29001","41924","29","99999","MO","Adair MO","Liberty township, Adair MO","[not in a place]",167,1 
"29001","50096","29","99999","MO","Adair MO","Morrow township, Adair MO","[not in a place]",189,1 
"29001","52526","29","16138","MO","Adair MO","Nineveh township, Adair MO","Connelsville CDP, MO",24,0.0426 
"29001","52526","29","53534","MO","Adair MO","Nineveh township, Adair MO","Novinger city, MO",205,0.3635 
"29001","52526","29","99999","MO","Adair MO","Nineveh township, Adair MO","[not in a place]",335,0.594 
"29001","57224","29","48134","MO","Adair MO","Pettis township, Adair MO","Millard village, MO",35,0.0873 
"29001","57224","29","99999","MO","Adair MO","Pettis township, Adair MO","[not in a place]",366,0.9127 
"29001","58682","29","29422","MO","Adair MO","Polk township, Adair MO","Greentop city, MO",37,0.1468 
"29001","58682","29","99999","MO","Adair MO","Polk township, Adair MO","[not in a place]",215,0.8532 
"29001","65540","29","08002","MO","Adair MO","Salt River township, Adair MO","Brashear city, MO",126,0.2825 
"29001","65540","29","99999","MO","Adair MO","Salt River township, Adair MO","[not in a place]",320,0.7175 
"29001","76786","29","99999","MO","Adair MO","Walnut township, Adair MO","[not in a place]",131,1 
"29001","80134","29","26920","MO","Adair MO","Wilson township, Adair MO","Gibbs village, MO",33,0.171 
"29001","80134","29","99999","MO","Adair MO","Wilson township, Adair MO","[not in a place]",160,0.829 
"29003","04564","29","06922","MO","Andrew MO","Benton township, Andrew MO","Bolckow city, MO",90,0.2195 
"29003","04564","29","63200","MO","Andrew MO","Benton township, Andrew MO","Rosendale city, MO",42,0.1024 
"29003","04564","29","99999","MO","Andrew MO","Benton township, Andrew MO","[not in a place]",278,0.678 
"29003","14266","29","99999","MO","Andrew MO","Clay township, Andrew MO","[not in a place]",98,1 
"29003","22330","29","99999","MO","Andrew MO","Empire township, Andrew MO","[not in a place]",168,1 
"29003","35576","29","24184","MO","Andrew MO","Jackson township, Andrew MO","Fillmore city, MO",84,0.3206 
"29003","35576","29","99999","MO","Andrew MO","Jackson township, Andrew MO","[not in a place]",178,0.6794 
"29003","36710","29","16802","MO","Andrew MO","Jefferson township, Andrew MO","Country Club village, MO",1062,0.4896 
"29003","36710","29","99999","MO","Andrew MO","Jefferson township, Andrew MO","[not in a place]",1107,0.5104 
"29003","42572","29","01018","MO","Andrew MO","Lincoln township, Andrew MO","Amazonia village, MO",122,0.246 
"29003","42572","29","99999","MO","Andrew MO","Lincoln township, Andrew MO","[not in a place]",374,0.754 
"29003","49286","29","16588","MO","Andrew MO","Monroe township, Andrew MO","Cosby village, MO",48,0.1468 
"29003","49286","29","99999","MO","Andrew MO","Monroe township, Andrew MO","[not in a place]",279,0.8532 
"29003","52688","29","66044","MO","Andrew MO","Nodaway township, Andrew MO","Savannah city, MO",2218,0.7591 
"29003","52688","29","99999","MO","Andrew MO","Nodaway township, Andrew MO","[not in a place]",704,0.2409 
