"county","cousub20","tract","CountyName","MCDName","hus20","afact"
"County code","County subdivision (2020)","Tract","County name","County subdivision / MCD name","Total housing units (2020 Census)","cousub20-to-tract allocation factor"
"09001","04720","2001.00","Fairfield CT","Bethel town, Fairfield CT",1644,0.206 
"09001","04720","2002.00","Fairfield CT","Bethel town, Fairfield CT",2623,0.3287 
"09001","04720","2003.01","Fairfield CT","Bethel town, Fairfield CT",1773,0.2222 
"09001","04720","2003.02","Fairfield CT","Bethel town, Fairfield CT",1940,0.2431 
"09001","08070","0701.00","Fairfield CT","Bridgeport town, Fairfield CT",2788,0.0474 
"09001","08070","0702.00","Fairfield CT","Bridgeport town, Fairfield CT",1858,0.0316 
"09001","08070","0703.00","Fairfield CT","Bridgeport town, Fairfield CT",477,0.0081 
"09001","08070","0704.00","Fairfield CT","Bridgeport town, Fairfield CT",610,0.0104 
"09001","08070","0705.00","Fairfield CT","Bridgeport town, Fairfield CT",761,0.0129 
"09001","08070","0706.00","Fairfield CT","Bridgeport town, Fairfield CT",1748,0.0297 
"09001","08070","0709.00","Fairfield CT","Bridgeport town, Fairfield CT",1002,0.017 
"09001","08070","0710.00","Fairfield CT","Bridgeport town, Fairfield CT",1296,0.022 
"09001","08070","0711.00","Fairfield CT","Bridgeport town, Fairfield CT",1631,0.0277 
"09001","08070","0712.00","Fairfield CT","Bridgeport town, Fairfield CT",2028,0.0344 
"09001","08070","0713.00","Fairfield CT","Bridgeport town, Fairfield CT",1501,0.0255 
"09001","08070","0714.00","Fairfield CT","Bridgeport town, Fairfield CT",1394,0.0237 
"09001","08070","0716.00","Fairfield CT","Bridgeport town, Fairfield CT",880,0.0149 
"09001","08070","0719.00","Fairfield CT","Bridgeport town, Fairfield CT",1646,0.028 
"09001","08070","0720.00","Fairfield CT","Bridgeport town, Fairfield CT",1350,0.0229 
"09001","08070","0721.00","Fairfield CT","Bridgeport town, Fairfield CT",2739,0.0465 
"09001","08070","0722.00","Fairfield CT","Bridgeport town, Fairfield CT",1743,0.0296 
"09001","08070","0723.00","Fairfield CT","Bridgeport town, Fairfield CT",1900,0.0323 
"09001","08070","0724.00","Fairfield CT","Bridgeport town, Fairfield CT",956,0.0162 
"09001","08070","0725.00","Fairfield CT","Bridgeport town, Fairfield CT",2357,0.04 
"09001","08070","0726.00","Fairfield CT","Bridgeport town, Fairfield CT",3090,0.0525 
"09001","08070","0727.00","Fairfield CT","Bridgeport town, Fairfield CT",1335,0.0227 
"09001","08070","0728.00","Fairfield CT","Bridgeport town, Fairfield CT",1973,0.0335 
"09001","08070","0729.00","Fairfield CT","Bridgeport town, Fairfield CT",1588,0.027 
"09001","08070","0730.00","Fairfield CT","Bridgeport town, Fairfield CT",705,0.012 
"09001","08070","0731.00","Fairfield CT","Bridgeport town, Fairfield CT",1856,0.0315 
"09001","08070","0732.00","Fairfield CT","Bridgeport town, Fairfield CT",1974,0.0335 
"09001","08070","0733.00","Fairfield CT","Bridgeport town, Fairfield CT",1484,0.0252 
"09001","08070","0734.00","Fairfield CT","Bridgeport town, Fairfield CT",1482,0.0252 
"09001","08070","0735.00","Fairfield CT","Bridgeport town, Fairfield CT",1343,0.0228 
"09001","08070","0736.00","Fairfield CT","Bridgeport town, Fairfield CT",888,0.0151 
"09001","08070","0737.00","Fairfield CT","Bridgeport town, Fairfield CT",2051,0.0348 
"09001","08070","0738.00","Fairfield CT","Bridgeport town, Fairfield CT",869,0.0148 
"09001","08070","0739.00","Fairfield CT","Bridgeport town, Fairfield CT",1413,0.024 
"09001","08070","0740.00","Fairfield CT","Bridgeport town, Fairfield CT",883,0.015 
"09001","08070","0743.00","Fairfield CT","Bridgeport town, Fairfield CT",1877,0.0319 
"09001","08070","0744.00","Fairfield CT","Bridgeport town, Fairfield CT",1801,0.0306 
"09001","08070","2572.00","Fairfield CT","Bridgeport town, Fairfield CT",1597,0.0271 
"09001","08980","2051.00","Fairfield CT","Brookfield town, Fairfield CT",1923,0.2702 
"09001","08980","2052.00","Fairfield CT","Brookfield town, Fairfield CT",2548,0.3581 
"09001","08980","2053.00","Fairfield CT","Brookfield town, Fairfield CT",2645,0.3717 
"09001","18500","2101.01","Fairfield CT","Danbury town, Fairfield CT",1354,0.0403 
"09001","18500","2101.02","Fairfield CT","Danbury town, Fairfield CT",1448,0.0431 
"09001","18500","2102.01","Fairfield CT","Danbury town, Fairfield CT",1260,0.0375 
"09001","18500","2102.02","Fairfield CT","Danbury town, Fairfield CT",1027,0.0306 
"09001","18500","2103.00","Fairfield CT","Danbury town, Fairfield CT",2190,0.0653 
"09001","18500","2104.01","Fairfield CT","Danbury town, Fairfield CT",1801,0.0537 
"09001","18500","2104.02","Fairfield CT","Danbury town, Fairfield CT",1761,0.0525 
"09001","18500","2105.01","Fairfield CT","Danbury town, Fairfield CT",1383,0.0412 
"09001","18500","2105.02","Fairfield CT","Danbury town, Fairfield CT",3239,0.0965 
"09001","18500","2106.00","Fairfield CT","Danbury town, Fairfield CT",2460,0.0733 
"09001","18500","2107.01","Fairfield CT","Danbury town, Fairfield CT",1847,0.055 
"09001","18500","2107.02","Fairfield CT","Danbury town, Fairfield CT",1350,0.0402 
"09001","18500","2108.00","Fairfield CT","Danbury town, Fairfield CT",2128,0.0634 
"09001","18500","2109.00","Fairfield CT","Danbury town, Fairfield CT",2209,0.0658 
"09001","18500","2110.00","Fairfield CT","Danbury town, Fairfield CT",1573,0.0469 
"09001","18500","2111.00","Fairfield CT","Danbury town, Fairfield CT",47,0.0014 
"09001","18500","2112.01","Fairfield CT","Danbury town, Fairfield CT",1518,0.0452 
"09001","18500","2112.02","Fairfield CT","Danbury town, Fairfield CT",1191,0.0355 
"09001","18500","2113.00","Fairfield CT","Danbury town, Fairfield CT",1459,0.0435 
"09001","18500","2114.00","Fairfield CT","Danbury town, Fairfield CT",2317,0.069 
"09001","18850","0301.00","Fairfield CT","Darien town, Fairfield CT",1196,0.1646 
"09001","18850","0302.00","Fairfield CT","Darien town, Fairfield CT",1159,0.1595 
"09001","18850","0303.00","Fairfield CT","Darien town, Fairfield CT",1524,0.2098 
"09001","18850","0304.00","Fairfield CT","Darien town, Fairfield CT",1478,0.2034 
"09001","18850","0305.00","Fairfield CT","Darien town, Fairfield CT",1908,0.2626 
"09001","23890","1051.00","Fairfield CT","Easton town, Fairfield CT",1532,0.5559 
"09001","23890","1052.00","Fairfield CT","Easton town, Fairfield CT",1224,0.4441 
"09001","26620","0601.00","Fairfield CT","Fairfield town, Fairfield CT",1011,0.046 
"09001","26620","0602.00","Fairfield CT","Fairfield town, Fairfield CT",1657,0.0754 
"09001","26620","0603.00","Fairfield CT","Fairfield town, Fairfield CT",1388,0.0631 
"09001","26620","0604.00","Fairfield CT","Fairfield town, Fairfield CT",1596,0.0726 
"09001","26620","0605.00","Fairfield CT","Fairfield town, Fairfield CT",1007,0.0458 
"09001","26620","0606.00","Fairfield CT","Fairfield town, Fairfield CT",1107,0.0504 
"09001","26620","0607.00","Fairfield CT","Fairfield town, Fairfield CT",1898,0.0863 
"09001","26620","0608.00","Fairfield CT","Fairfield town, Fairfield CT",793,0.0361 
"09001","26620","0609.00","Fairfield CT","Fairfield town, Fairfield CT",926,0.0421 
"09001","26620","0610.00","Fairfield CT","Fairfield town, Fairfield CT",1704,0.0775 
"09001","26620","0611.00","Fairfield CT","Fairfield town, Fairfield CT",1330,0.0605 
"09001","26620","0612.00","Fairfield CT","Fairfield town, Fairfield CT",880,0.04 
"09001","26620","0613.00","Fairfield CT","Fairfield town, Fairfield CT",1230,0.056 
"09001","26620","0614.00","Fairfield CT","Fairfield town, Fairfield CT",1371,0.0624 
"09001","26620","0615.00","Fairfield CT","Fairfield town, Fairfield CT",1861,0.0847 
"09001","26620","0616.00","Fairfield CT","Fairfield town, Fairfield CT",2223,0.1011 
"09001","33620","0101.01","Fairfield CT","Greenwich town, Fairfield CT",1716,0.0668 
"09001","33620","0101.02","Fairfield CT","Greenwich town, Fairfield CT",1619,0.0631 
"09001","33620","0102.01","Fairfield CT","Greenwich town, Fairfield CT",1130,0.044 
"09001","33620","0102.02","Fairfield CT","Greenwich town, Fairfield CT",2186,0.0851 
"09001","33620","0103.00","Fairfield CT","Greenwich town, Fairfield CT",1744,0.0679 
"09001","33620","0104.00","Fairfield CT","Greenwich town, Fairfield CT",2396,0.0933 
"09001","33620","0105.00","Fairfield CT","Greenwich town, Fairfield CT",2987,0.1163 
"09001","33620","0106.00","Fairfield CT","Greenwich town, Fairfield CT",1249,0.0486 
"09001","33620","0107.00","Fairfield CT","Greenwich town, Fairfield CT",1863,0.0726 
"09001","33620","0108.00","Fairfield CT","Greenwich town, Fairfield CT",1292,0.0503 
"09001","33620","0109.00","Fairfield CT","Greenwich town, Fairfield CT",1994,0.0777 
"09001","33620","0110.00","Fairfield CT","Greenwich town, Fairfield CT",1923,0.0749 
"09001","33620","0111.00","Fairfield CT","Greenwich town, Fairfield CT",1642,0.0639 
"09001","33620","0112.00","Fairfield CT","Greenwich town, Fairfield CT",786,0.0306 
"09001","33620","0113.00","Fairfield CT","Greenwich town, Fairfield CT",1150,0.0448 
"09001","48620","1001.00","Fairfield CT","Monroe town, Fairfield CT",2179,0.315 
"09001","48620","1002.00","Fairfield CT","Monroe town, Fairfield CT",2455,0.3549 
"09001","48620","1003.00","Fairfield CT","Monroe town, Fairfield CT",2284,0.3302 
"09001","50580","0351.01","Fairfield CT","New Canaan town, Fairfield CT",1657,0.2209 
"09001","50580","0351.02","Fairfield CT","New Canaan town, Fairfield CT",1684,0.2245 
"09001","50580","0352.00","Fairfield CT","New Canaan town, Fairfield CT",1126,0.1501 
