"county","cousub20","zcta","CountyName","MCDName","ZIPName","hus20","afact"
"County code","County subdivision (2020)","ZIP census tabulation area","County name","County subdivision / MCD name","ZIP Code name","Total housing units (2020 Census)","cousub20-to-zcta allocation factor"
"09001","04720","06801","Fairfield CT","Bethel town, Fairfield CT","Bethel, CT",7926,0.9932 
"09001","04720","06810","Fairfield CT","Bethel town, Fairfield CT","Danbury, CT",54,0.0068 
"09001","08070","06604","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport, CT",12342,0.2096 
"09001","08070","06605","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport, CT",10003,0.1699 
"09001","08070","06606","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport, CT",17902,0.3041 
"09001","08070","06607","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport, CT",3435,0.0583 
"09001","08070","06608","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport, CT",5510,0.0936 
"09001","08070","06610","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport, CT",9681,0.1644 
"09001","08070","06611","Fairfield CT","Bridgeport town, Fairfield CT","Trumbull, CT",1,0 
"09001","08980","06804","Fairfield CT","Brookfield town, Fairfield CT","Brookfield, CT",7116,1 
"09001","18500","06804","Fairfield CT","Danbury town, Fairfield CT","Brookfield, CT",82,0.0024 
"09001","18500","06810","Fairfield CT","Danbury town, Fairfield CT","Danbury, CT",21518,0.6411 
"09001","18500","06811","Fairfield CT","Danbury town, Fairfield CT","Danbury, CT",11962,0.3564 
"09001","18850","06820","Fairfield CT","Darien town, Fairfield CT","Darien, CT",7265,1 
"09001","23890","06612","Fairfield CT","Easton town, Fairfield CT","Easton, CT",2756,1 
"09001","26620","06824","Fairfield CT","Fairfield town, Fairfield CT","Fairfield, CT",12194,0.5547 
"09001","26620","06825","Fairfield CT","Fairfield town, Fairfield CT","Fairfield, CT",7935,0.361 
"09001","26620","06880","Fairfield CT","Fairfield town, Fairfield CT","Westport, CT",34,0.0015 
"09001","26620","06890","Fairfield CT","Fairfield town, Fairfield CT","Southport, CT",1819,0.0827 
"09001","33620","06807","Fairfield CT","Greenwich town, Fairfield CT","Cos Cob, CT",2845,0.1108 
"09001","33620","06830","Fairfield CT","Greenwich town, Fairfield CT","Greenwich, CT",11040,0.43 
"09001","33620","06831","Fairfield CT","Greenwich town, Fairfield CT","Greenwich, CT",6086,0.237 
"09001","33620","06870","Fairfield CT","Greenwich town, Fairfield CT","Old Greenwich, CT",2801,0.1091 
"09001","33620","06878","Fairfield CT","Greenwich town, Fairfield CT","Riverside, CT",2896,0.1128 
"09001","33620","06902","Fairfield CT","Greenwich town, Fairfield CT","Stamford, CT",9,0.0004 
"09001","48620","06468","Fairfield CT","Monroe town, Fairfield CT","Monroe, CT",6918,1 
"09001","50580","06840","Fairfield CT","New Canaan town, Fairfield CT","New Canaan, CT",7499,0.9996 
"09001","50580","06907","Fairfield CT","New Canaan town, Fairfield CT","Stamford, CT",3,0.0004 
"09001","50860","06812","Fairfield CT","New Fairfield town, Fairfield CT","New Fairfield, CT",5635,1 
"09001","52980","06470","Fairfield CT","Newtown town, Fairfield CT","Newtown, CT",6147,0.5955 
"09001","52980","06482","Fairfield CT","Newtown town, Fairfield CT","Sandy Hook, CT",4172,0.4042 
"09001","52980","06804","Fairfield CT","Newtown town, Fairfield CT","Brookfield, CT",3,0.0003 
"09001","56060","06840","Fairfield CT","Norwalk town, Fairfield CT","New Canaan, CT",3,0.0001 
"09001","56060","06850","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",8968,0.2351 
"09001","56060","06851","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",11825,0.3099 
"09001","56060","06853","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",1548,0.0406 
"09001","56060","06854","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",12031,0.3153 
"09001","56060","06855","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",3760,0.0986 
"09001","56060","06880","Fairfield CT","Norwalk town, Fairfield CT","Westport, CT",17,0.0004 
"09001","63480","06877","Fairfield CT","Redding town, Fairfield CT","Ridgefield, CT",20,0.0055 
"09001","63480","06896","Fairfield CT","Redding town, Fairfield CT","Redding, CT",3642,0.994 
"09001","63480","06897","Fairfield CT","Redding town, Fairfield CT","Wilton, CT",2,0.0005 
"09001","63970","06877","Fairfield CT","Ridgefield town, Fairfield CT","Ridgefield, CT",9506,1 
"09001","68170","06484","Fairfield CT","Shelton town, Fairfield CT","Shelton, CT",17174,1 
