"county","tract","CountyName","hus20","afact"
"County code","Tract","County name","Total housing units (2020 Census)","tract-to-county allocation factor"
"09001","0101.01","Fairfield CT",1716,1 
"09001","0101.02","Fairfield CT",1619,1 
"09001","0102.01","Fairfield CT",1130,1 
"09001","0102.02","Fairfield CT",2186,1 
"09001","0103.00","Fairfield CT",1744,1 
"09001","0104.00","Fairfield CT",2396,1 
"09001","0105.00","Fairfield CT",2987,1 
"09001","0106.00","Fairfield CT",1249,1 
"09001","0107.00","Fairfield CT",1863,1 
"09001","0108.00","Fairfield CT",1292,1 
"09001","0109.00","Fairfield CT",1994,1 
"09001","0110.00","Fairfield CT",1923,1 
"09001","0111.00","Fairfield CT",1642,1 
"09001","0112.00","Fairfield CT",786,1 
"09001","0113.00","Fairfield CT",1150,1 
"09001","0201.01","Fairfield CT",1666,1 
"09001","0201.02","Fairfield CT",2526,1 
"09001","0202.00","Fairfield CT",1429,1 
"09001","0203.01","Fairfield CT",1393,1 
"09001","0203.02","Fairfield CT",1205,1 
"09001","0204.00","Fairfield CT",1336,1 
"09001","0205.00","Fairfield CT",1695,1 
"09001","0206.00","Fairfield CT",1733,1 
"09001","0207.00","Fairfield CT",1644,1 
"09001","0208.00","Fairfield CT",997,1 
"09001","0209.00","Fairfield CT",2291,1 
"09001","0210.00","Fairfield CT",1331,1 
"09001","0211.00","Fairfield CT",2714,1 
"09001","0212.00","Fairfield CT",1807,1 
"09001","0213.00","Fairfield CT",1877,1 
"09001","0214.01","Fairfield CT",978,1 
"09001","0214.02","Fairfield CT",1527,1 
"09001","0215.01","Fairfield CT",1320,1 
"09001","0215.02","Fairfield CT",887,1 
"09001","0216.01","Fairfield CT",1868,1 
"09001","0216.02","Fairfield CT",2279,1 
"09001","0217.01","Fairfield CT",1638,1 
"09001","0217.02","Fairfield CT",2874,1 
"09001","0218.01","Fairfield CT",1984,1 
"09001","0218.02","Fairfield CT",1957,1 
"09001","0219.00","Fairfield CT",2408,1 
"09001","0220.00","Fairfield CT",1202,1 
"09001","0221.01","Fairfield CT",1031,1 
"09001","0221.02","Fairfield CT",1695,1 
"09001","0222.01","Fairfield CT",1647,1 
"09001","0222.02","Fairfield CT",2574,1 
"09001","0223.00","Fairfield CT",2521,1 
"09001","0224.00","Fairfield CT",919,1 
"09001","0301.00","Fairfield CT",1196,1 
"09001","0302.00","Fairfield CT",1159,1 
"09001","0303.00","Fairfield CT",1524,1 
"09001","0304.00","Fairfield CT",1478,1 
"09001","0305.00","Fairfield CT",1908,1 
"09001","0351.01","Fairfield CT",1657,1 
"09001","0351.02","Fairfield CT",1684,1 
"09001","0352.00","Fairfield CT",1126,1 
"09001","0353.00","Fairfield CT",1299,1 
"09001","0354.00","Fairfield CT",1736,1 
"09001","0425.00","Fairfield CT",1493,1 
"09001","0426.00","Fairfield CT",1874,1 
"09001","0427.00","Fairfield CT",2766,1 
"09001","0428.00","Fairfield CT",1789,1 
"09001","0429.00","Fairfield CT",674,1 
"09001","0430.00","Fairfield CT",1254,1 
"09001","0431.00","Fairfield CT",1835,1 
"09001","0432.00","Fairfield CT",1205,1 
"09001","0433.00","Fairfield CT",1195,1 
"09001","0434.00","Fairfield CT",2054,1 
"09001","0435.00","Fairfield CT",1028,1 
"09001","0436.00","Fairfield CT",1295,1 
"09001","0437.00","Fairfield CT",1962,1 
"09001","0438.00","Fairfield CT",3331,1 
"09001","0439.00","Fairfield CT",2115,1 
"09001","0440.00","Fairfield CT",2436,1 
"09001","0441.00","Fairfield CT",1995,1 
"09001","0442.00","Fairfield CT",1904,1 
"09001","0443.00","Fairfield CT",1855,1 
"09001","0444.00","Fairfield CT",1258,1 
"09001","0445.00","Fairfield CT",1352,1 
"09001","0446.00","Fairfield CT",1482,1 
"09001","0451.01","Fairfield CT",1384,1 
"09001","0451.02","Fairfield CT",2056,1 
"09001","0452.00","Fairfield CT",1075,1 
"09001","0453.00","Fairfield CT",809,1 
"09001","0454.00","Fairfield CT",1243,1 
"09001","0501.00","Fairfield CT",1487,1 
"09001","0502.00","Fairfield CT",1661,1 
"09001","0503.01","Fairfield CT",1532,1 
"09001","0503.02","Fairfield CT",1527,1 
"09001","0504.00","Fairfield CT",1120,1 
"09001","0505.00","Fairfield CT",1880,1 
"09001","0506.00","Fairfield CT",1360,1 
"09001","0551.00","Fairfield CT",2061,1 
"09001","0552.00","Fairfield CT",1610,1 
"09001","0601.00","Fairfield CT",1011,1 
"09001","0602.00","Fairfield CT",1657,1 
"09001","0603.00","Fairfield CT",1388,1 
"09001","0604.00","Fairfield CT",1596,1 
"09001","0605.00","Fairfield CT",1007,1 
"09001","0606.00","Fairfield CT",1107,1 
"09001","0607.00","Fairfield CT",1898,1 
