"county","tract","cousub20","CountyName","MCDName","hus20","afact"
"County code","Tract","County subdivision (2020)","County name","County subdivision / MCD name","Total housing units (2020 Census)","tract-to-cousub20 allocation factor"
"09001","0101.01","33620","Fairfield CT","Greenwich town, Fairfield CT",1716,1 
"09001","0101.02","33620","Fairfield CT","Greenwich town, Fairfield CT",1619,1 
"09001","0102.01","33620","Fairfield CT","Greenwich town, Fairfield CT",1130,1 
"09001","0102.02","33620","Fairfield CT","Greenwich town, Fairfield CT",2186,1 
"09001","0103.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1744,1 
"09001","0104.00","33620","Fairfield CT","Greenwich town, Fairfield CT",2396,1 
"09001","0105.00","33620","Fairfield CT","Greenwich town, Fairfield CT",2987,1 
"09001","0106.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1249,1 
"09001","0107.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1863,1 
"09001","0108.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1292,1 
"09001","0109.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1994,1 
"09001","0110.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1923,1 
"09001","0111.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1642,1 
"09001","0112.00","33620","Fairfield CT","Greenwich town, Fairfield CT",786,1 
"09001","0113.00","33620","Fairfield CT","Greenwich town, Fairfield CT",1150,1 
"09001","0201.01","73070","Fairfield CT","Stamford town, Fairfield CT",1666,1 
"09001","0201.02","73070","Fairfield CT","Stamford town, Fairfield CT",2526,1 
"09001","0202.00","73070","Fairfield CT","Stamford town, Fairfield CT",1429,1 
"09001","0203.01","73070","Fairfield CT","Stamford town, Fairfield CT",1393,1 
"09001","0203.02","73070","Fairfield CT","Stamford town, Fairfield CT",1205,1 
"09001","0204.00","73070","Fairfield CT","Stamford town, Fairfield CT",1336,1 
"09001","0205.00","73070","Fairfield CT","Stamford town, Fairfield CT",1695,1 
"09001","0206.00","73070","Fairfield CT","Stamford town, Fairfield CT",1733,1 
"09001","0207.00","73070","Fairfield CT","Stamford town, Fairfield CT",1644,1 
"09001","0208.00","73070","Fairfield CT","Stamford town, Fairfield CT",997,1 
"09001","0209.00","73070","Fairfield CT","Stamford town, Fairfield CT",2291,1 
"09001","0210.00","73070","Fairfield CT","Stamford town, Fairfield CT",1331,1 
"09001","0211.00","73070","Fairfield CT","Stamford town, Fairfield CT",2714,1 
"09001","0212.00","73070","Fairfield CT","Stamford town, Fairfield CT",1807,1 
"09001","0213.00","73070","Fairfield CT","Stamford town, Fairfield CT",1877,1 
"09001","0214.01","73070","Fairfield CT","Stamford town, Fairfield CT",978,1 
"09001","0214.02","73070","Fairfield CT","Stamford town, Fairfield CT",1527,1 
"09001","0215.01","73070","Fairfield CT","Stamford town, Fairfield CT",1320,1 
"09001","0215.02","73070","Fairfield CT","Stamford town, Fairfield CT",887,1 
"09001","0216.01","73070","Fairfield CT","Stamford town, Fairfield CT",1868,1 
"09001","0216.02","73070","Fairfield CT","Stamford town, Fairfield CT",2279,1 
"09001","0217.01","73070","Fairfield CT","Stamford town, Fairfield CT",1638,1 
"09001","0217.02","73070","Fairfield CT","Stamford town, Fairfield CT",2874,1 
"09001","0218.01","73070","Fairfield CT","Stamford town, Fairfield CT",1984,1 
"09001","0218.02","73070","Fairfield CT","Stamford town, Fairfield CT",1957,1 
"09001","0219.00","73070","Fairfield CT","Stamford town, Fairfield CT",2408,1 
"09001","0220.00","73070","Fairfield CT","Stamford town, Fairfield CT",1202,1 
"09001","0221.01","73070","Fairfield CT","Stamford town, Fairfield CT",1031,1 
