"county","tract","zcta","CountyName","ZIPName","hus20","afact"
"County code","Tract","ZIP census tabulation area","County name","ZIP Code name","Total housing units (2020 Census)","tract-to-zcta allocation factor"
"09001","0101.01","06831","Fairfield CT","Greenwich, CT",1716,1 
"09001","0101.02","06830","Fairfield CT","Greenwich, CT",602,0.3718 
"09001","0101.02","06831","Fairfield CT","Greenwich, CT",1017,0.6282 
"09001","0102.01","06830","Fairfield CT","Greenwich, CT",1059,0.9372 
"09001","0102.01","06831","Fairfield CT","Greenwich, CT",71,0.0628 
"09001","0102.02","06807","Fairfield CT","Cos Cob, CT",1828,0.8362 
"09001","0102.02","06830","Fairfield CT","Greenwich, CT",211,0.0965 
"09001","0102.02","06870","Fairfield CT","Old Greenwich, CT",123,0.0563 
"09001","0102.02","06878","Fairfield CT","Riverside, CT",24,0.011 
"09001","0103.00","06830","Fairfield CT","Greenwich, CT",858,0.492 
"09001","0103.00","06831","Fairfield CT","Greenwich, CT",886,0.508 
"09001","0104.00","06831","Fairfield CT","Greenwich, CT",2396,1 
"09001","0105.00","06830","Fairfield CT","Greenwich, CT",2987,1 
"09001","0106.00","06830","Fairfield CT","Greenwich, CT",1249,1 
"09001","0107.00","06830","Fairfield CT","Greenwich, CT",1863,1 
"09001","0108.00","06807","Fairfield CT","Cos Cob, CT",1017,0.7872 
"09001","0108.00","06830","Fairfield CT","Greenwich, CT",275,0.2128 
"09001","0109.00","06870","Fairfield CT","Old Greenwich, CT",737,0.3696 
"09001","0109.00","06878","Fairfield CT","Riverside, CT",1248,0.6259 
"09001","0109.00","06902","Fairfield CT","Stamford, CT",9,0.0045 
"09001","0110.00","06870","Fairfield CT","Old Greenwich, CT",1923,1 
"09001","0111.00","06870","Fairfield CT","Old Greenwich, CT",18,0.011 
"09001","0111.00","06878","Fairfield CT","Riverside, CT",1624,0.989 
"09001","0112.00","06830","Fairfield CT","Greenwich, CT",786,1 
"09001","0113.00","06830","Fairfield CT","Greenwich, CT",1150,1 
"09001","0201.01","06901","Fairfield CT","Stamford, CT",1119,0.6717 
"09001","0201.01","06902","Fairfield CT","Stamford, CT",547,0.3283 
"09001","0201.02","06901","Fairfield CT","Stamford, CT",2526,1 
"09001","0202.00","06831","Fairfield CT","Greenwich, CT",87,0.0609 
"09001","0202.00","06903","Fairfield CT","Stamford, CT",1342,0.9391 
"09001","0203.01","06903","Fairfield CT","Stamford, CT",1393,1 
"09001","0203.02","06903","Fairfield CT","Stamford, CT",1205,1 
"09001","0204.00","06903","Fairfield CT","Stamford, CT",1336,1 
"09001","0205.00","06902","Fairfield CT","Stamford, CT",1695,1 
"09001","0206.00","06902","Fairfield CT","Stamford, CT",427,0.2464 
"09001","0206.00","06903","Fairfield CT","Stamford, CT",20,0.0115 
"09001","0206.00","06905","Fairfield CT","Stamford, CT",1286,0.7421 
"09001","0207.00","06905","Fairfield CT","Stamford, CT",775,0.4714 
"09001","0207.00","06907","Fairfield CT","Stamford, CT",869,0.5286 
"09001","0208.00","06905","Fairfield CT","Stamford, CT",997,1 
"09001","0209.00","06905","Fairfield CT","Stamford, CT",75,0.0327 
"09001","0209.00","06907","Fairfield CT","Stamford, CT",2216,0.9673 
"09001","0210.00","06905","Fairfield CT","Stamford, CT",458,0.3441 
"09001","0210.00","06906","Fairfield CT","Stamford, CT",129,0.0969 
"09001","0210.00","06907","Fairfield CT","Stamford, CT",744,0.559 
"09001","0211.00","06902","Fairfield CT","Stamford, CT",124,0.0457 
"09001","0211.00","06905","Fairfield CT","Stamford, CT",113,0.0416 
"09001","0211.00","06906","Fairfield CT","Stamford, CT",2477,0.9127 
"09001","0212.00","06902","Fairfield CT","Stamford, CT",360,0.1992 
"09001","0212.00","06905","Fairfield CT","Stamford, CT",1447,0.8008 
"09001","0213.00","06902","Fairfield CT","Stamford, CT",574,0.3058 
"09001","0213.00","06905","Fairfield CT","Stamford, CT",1303,0.6942 
"09001","0214.01","06902","Fairfield CT","Stamford, CT",978,1 
"09001","0214.02","06902","Fairfield CT","Stamford, CT",1527,1 
"09001","0215.01","06901","Fairfield CT","Stamford, CT",1,0.0008 
"09001","0215.01","06902","Fairfield CT","Stamford, CT",1319,0.9992 
