"state","sduni20","zcta","stab","ZIPName","uschlnm20","hus20","afact"
"State code","Unified school district (2020)","ZIP census tabulation area","State abbr.","ZIP Code name","Unified school district name 2020","Total housing units (2020 Census)","sduni20-to-zcta allocation factor"
"09","00060","06401","CT","Ansonia, CT","Ansonia School District",8095,0.9989 
"09","00060","06418","CT","Derby, CT","Ansonia School District",9,0.0011 
"09","00120","06001","CT","Avon, CT","Avon School District",7713,1 
"09","00210","06023","CT","East Berlin, CT","Berlin School District",583,0.068 
"09","00210","06037","CT","Berlin, CT","Berlin School District",7985,0.9316 
"09","00210","06052","CT","New Britain, CT","Berlin School District",3,0.0004 
"09","00270","06801","CT","Bethel, CT","Bethel School District",7926,0.9932 
"09","00270","06810","CT","Danbury, CT","Bethel School District",54,0.0068 
"09","00330","06001","CT","Avon, CT","Bloomfield School District",1,0.0001 
"09","00330","06002","CT","Bloomfield, CT","Bloomfield School District",9716,0.9999 
"09","00360","06043","CT","Bolton, CT","Bolton School District",2045,1 
"09","00420","06405","CT","Branford, CT","Branford School District",14147,0.9977 
"09","00420","06437","CT","Guilford, CT","Branford School District",2,0.0001 
"09","00420","06471","CT","North Branford, CT","Branford School District",31,0.0022 
"09","00450","06604","CT","Bridgeport, CT","Bridgeport School District",12342,0.2096 
"09","00450","06605","CT","Bridgeport, CT","Bridgeport School District",10003,0.1699 
"09","00450","06606","CT","Bridgeport, CT","Bridgeport School District",17902,0.3041 
"09","00450","06607","CT","Bridgeport, CT","Bridgeport School District",3435,0.0583 
"09","00450","06608","CT","Bridgeport, CT","Bridgeport School District",5510,0.0936 
"09","00450","06610","CT","Bridgeport, CT","Bridgeport School District",9681,0.1644 
"09","00450","06611","CT","Trumbull, CT","Bridgeport School District",1,0 
"09","00510","06010","CT","Bristol, CT","Bristol School District",27215,0.9987 
"09","00510","06062","CT","Plainville, CT","Bristol School District",36,0.0013 
"09","00540","06804","CT","Brookfield, CT","Brookfield School District",7116,1 
"09","00690","06019","CT","Canton, CT","Canton School District",4261,0.9722 
"09","00690","06020","CT","Canton Center, CT (PO boxes)","Canton School District",12,0.0027 
"09","00690","06022","CT","Collinsville, CT (PO boxes)","Canton School District",58,0.0132 
"09","00690","06059","CT","North Canton, CT (PO boxes)","Canton School District",52,0.0119 
"09","00750","06410","CT","Cheshire, CT","Cheshire School District",10678,0.9926 
"09","00750","06492","CT","Wallingford, CT","Cheshire School District",80,0.0074 
"09","00810","06413","CT","Clinton, CT","Clinton School District",6267,0.9975 
"09","00810","06498","CT","Westbrook, CT","Clinton School District",16,0.0025 
"09","00840","06415","CT","Colchester, CT","Colchester School District",6441,1 
"09","00960","06238","CT","Coventry, CT","Coventry School District",5273,1 
"09","00990","06416","CT","Cromwell, CT","Cromwell School District",6162,1 
"09","01020","06804","CT","Brookfield, CT","Danbury School District",82,0.0024 
"09","01020","06810","CT","Danbury, CT","Danbury School District",21518,0.6411 
"09","01020","06811","CT","Danbury, CT","Danbury School District",11962,0.3564 
