"zcta","county","cousub20","CountyName","MCDName","ZIPName","hus20","afact"
"ZIP census tabulation area","County code","County subdivision (2020)","County name","County subdivision / MCD name","ZIP Code name","Total housing units (2020 Census)","zcta-to-cousub20 allocation factor"
"06001","09003","02060","Hartford CT","Avon town, Hartford CT","Avon, CT",7713,0.9744 
"06001","09003","05910","Hartford CT","Bloomfield town, Hartford CT","Avon, CT",1,0.0001 
"06001","09003","27600","Hartford CT","Farmington town, Hartford CT","Avon, CT",199,0.0251 
"06001","09003","68940","Hartford CT","Simsbury town, Hartford CT","Avon, CT",3,0.0004 
"06002","09003","05910","Hartford CT","Bloomfield town, Hartford CT","Bloomfield, CT",9716,0.9982 
"06002","09003","87000","Hartford CT","Windsor town, Hartford CT","Bloomfield, CT",18,0.0018 
"06010","09003","08490","Hartford CT","Bristol town, Hartford CT","Bristol, CT",27215,0.9999 
"06010","09003","70550","Hartford CT","Southington town, Hartford CT","Bristol, CT",3,0.0001 
"06013","09003","10100","Hartford CT","Burlington town, Hartford CT","Burlington, CT",3628,1 
"06016","09003","24800","Hartford CT","East Windsor town, Hartford CT","Broad Brook, CT",2932,1 
"06018","09005","54030","Litchfield CT","North Canaan town, Litchfield CT","Canaan, CT",1297,1 
"06019","09003","12270","Hartford CT","Canton town, Hartford CT","Canton, CT",4261,1 
"06020","09003","12270","Hartford CT","Canton town, Hartford CT","Canton Center, CT (PO boxes)",12,1 
"06021","09005","16050","Litchfield CT","Colebrook town, Litchfield CT","Colebrook, CT",694,1 
"06022","09003","12270","Hartford CT","Canton town, Hartford CT","Collinsville, CT (PO boxes)",58,1 
"06023","09003","04300","Hartford CT","Berlin town, Hartford CT","East Berlin, CT",583,1 
"06024","09005","54030","Litchfield CT","North Canaan town, Litchfield CT","East Canaan, CT",285,1 
"06026","09003","22070","Hartford CT","East Granby town, Hartford CT","East Granby, CT",2177,1 
"06027","09003","37140","Hartford CT","Hartland town, Hartford CT","East Hartland, CT",578,1 
"06029","09013","25360","Tolland CT","Ellington town, Tolland CT","Ellington, CT",7032,0.9999 
"06029","09013","76290","Tolland CT","Tolland town, Tolland CT","Ellington, CT",1,0.0001 
"06031","09005","10940","Litchfield CT","Canaan town, Litchfield CT","Falls Village, CT",639,0.7997 
"06031","09005","17240","Litchfield CT","Cornwall town, Litchfield CT","Falls Village, CT",25,0.0313 
"06031","09005","66420","Litchfield CT","Salisbury town, Litchfield CT","Falls Village, CT",135,0.169 
"06032","09003","27600","Hartford CT","Farmington town, Hartford CT","Farmington, CT",8383,1 
"06033","09003","31240","Hartford CT","Glastonbury town, Hartford CT","Glastonbury, CT",12315,1 
"06035","09003","22070","Hartford CT","East Granby town, Hartford CT","Granby, CT",6,0.0019 
"06035","09003","32640","Hartford CT","Granby town, Hartford CT","Granby, CT",3109,0.9981 
"06037","09003","04300","Hartford CT","Berlin town, Hartford CT","Berlin, CT",7985,0.9961 
"06037","09003","65370","Hartford CT","Rocky Hill town, Hartford CT","Berlin, CT",31,0.0039 
"06039","09005","66420","Litchfield CT","Salisbury town, Litchfield CT","Lakeville, CT",1298,1 
"06040","09003","44700","Hartford CT","Manchester town, Hartford CT","Manchester, CT",15559,1 
"06042","09003","44700","Hartford CT","Manchester town, Hartford CT","Manchester, CT",10886,0.9998 
"06042","09003","71390","Hartford CT","South Windsor town, Hartford CT","Manchester, CT",2,0.0002 
"06043","09013","01080","Tolland CT","Andover town, Tolland CT","Bolton, CT",3,0.0015 
"06043","09013","06260","Tolland CT","Bolton town, Tolland CT","Bolton, CT",2045,0.9985 
"06051","09003","50440","Hartford CT","New Britain town, Hartford CT","New Britain, CT",13514,1 
"06052","09003","04300","Hartford CT","Berlin town, Hartford CT","New Britain, CT",3,0.0008 
"06052","09003","50440","Hartford CT","New Britain town, Hartford CT","New Britain, CT",3598,0.9992 
"06053","09003","27600","Hartford CT","Farmington town, Hartford CT","New Britain, CT",9,0.0006 
"06053","09003","50440","Hartford CT","New Britain town, Hartford CT","New Britain, CT",14398,0.9993 
"06053","09003","60120","Hartford CT","Plainville town, Hartford CT","New Britain, CT",1,0.0001 
"06057","09005","51350","Litchfield CT","New Hartford town, Litchfield CT","New Hartford, CT",2855,1 
"06058","09005","32290","Litchfield CT","Goshen town, Litchfield CT","Norfolk, CT",32,0.0332 
"06058","09005","53470","Litchfield CT","Norfolk town, Litchfield CT","Norfolk, CT",932,0.9668 
"06059","09003","12270","Hartford CT","Canton town, Hartford CT","North Canton, CT (PO boxes)",52,1 
"06060","09003","32640","Hartford CT","Granby town, Hartford CT","North Granby, CT",901,1 
"06061","09005","51350","Litchfield CT","New Hartford town, Litchfield CT","Pine Meadow, CT (PO boxes)",104,1 
"06062","09003","08490","Hartford CT","Bristol town, Hartford CT","Plainville, CT",36,0.0045 
