"state","place","county","cousub20","stab","CountyName","MCDName","PlaceName","hus20","afact"
"State code","Place code","County code","County subdivision (2020)","State abbr.","County name","County subdivision / MCD name","Place name","Total housing units (2020 Census)","place-to-cousub20 allocation factor"
"09","01150","09009","01220","CT","New Haven CT","Ansonia town, New Haven CT","Ansonia city, CT",8104,1 
"09","02480","09001","50860","CT","Fairfield CT","New Fairfield town, Fairfield CT","Ball Pond CDP, CT",882,1 
"09","02550","09011","71670","CT","New London CT","Sprague town, New London CT","Baltic CDP, CT",542,1 
"09","02690","09005","43370","CT","Litchfield CT","Litchfield town, Litchfield CT","Bantam borough, CT",450,1 
"09","04790","09001","04720","CT","Fairfield CT","Bethel town, Fairfield CT","Bethel CDP, CT",4934,1 
"09","04945","09005","04930","CT","Litchfield CT","Bethlehem town, Litchfield CT","Bethlehem Village CDP, CT",1000,1 
"09","04965","09001","50860","CT","Fairfield CT","New Fairfield town, Fairfield CT","Bigelow Corners CDP, CT",217,1 
"09","06050","09003","05910","CT","Hartford CT","Bloomfield town, Hartford CT","Blue Hills CDP, CT",1077,1 
"09","06155","09001","50860","CT","Fairfield CT","New Fairfield town, Fairfield CT","Bogus Hill CDP, CT",60,1 
"09","06680","09001","52980","CT","Fairfield CT","Newtown town, Fairfield CT","Botsford CDP, CT",174,1 
"09","07100","09001","63970","CT","Fairfield CT","Ridgefield town, Fairfield CT","Branchville CDP, CT",97,1 
"09","07345","09009","07310","CT","New Haven CT","Branford town, New Haven CT","Branford Center CDP, CT",3410,1 
"09","08000","09001","08070","CT","Fairfield CT","Bridgeport town, Fairfield CT","Bridgeport city, CT",58874,1 
"09","08140","09005","08210","CT","Litchfield CT","Bridgewater town, Litchfield CT","Bridgewater CDP, CT",72,1 
"09","08420","09003","08490","CT","Hartford CT","Bristol town, Hartford CT","Bristol city, CT",27251,1 
"09","08770","09003","24800","CT","Hartford CT","East Windsor town, Hartford CT","Broad Brook CDP, CT",1914,1 
"09","08910","09001","08980","CT","Fairfield CT","Brookfield town, Fairfield CT","Brookfield Center CDP, CT",234,1 
"09","09120","09015","09190","CT","Windham CT","Brooklyn town, Windham CT","Brooklyn CDP, CT",234,1 
"09","10660","09001","33620","CT","Fairfield CT","Greenwich town, Fairfield CT","Byram CDP, CT",1802,1 
"09","10870","09005","54030","CT","Litchfield CT","North Canaan town, Litchfield CT","Canaan CDP, CT",643,1 
"09","11360","09001","50860","CT","Fairfield CT","New Fairfield town, Fairfield CT","Candlewood Isle CDP, CT",349,1 
"09","11430","09001","50860","CT","Fairfield CT","New Fairfield town, Fairfield CT","Candlewood Knolls CDP, CT",229,1 
"09","11500","09001","08980","CT","Fairfield CT","Brookfield town, Fairfield CT","Candlewood Lake Club CDP, CT",65,0.4305 
"09","11500","09005","52630","CT","Litchfield CT","New Milford town, Litchfield CT","Candlewood Lake Club CDP, CT",86,0.5695 
"09","11640","09001","08980","CT","Fairfield CT","Brookfield town, Fairfield CT","Candlewood Orchards CDP, CT",362,1 
"09","11780","09001","08980","CT","Fairfield CT","Brookfield town, Fairfield CT","Candlewood Shores CDP, CT",310,1 
"09","11990","09001","86370","CT","Fairfield CT","Wilton town, Fairfield CT","Cannondale CDP, CT",75,1 
"09","12370","09003","12270","CT","Hartford CT","Canton town, Hartford CT","Canton Valley CDP, CT",815,1 
"09","14200","09009","14160","CT","New Haven CT","Cheshire town, New Haven CT","Cheshire Village CDP, CT",2637,1 
"09","14370","09007","14300","CT","Middlesex CT","Chester town, Middlesex CT","Chester Center CDP, CT",800,1 
"09","14615","09005","52630","CT","Litchfield CT","New Milford town, Litchfield CT","Chimney Point CDP, CT",50,1 
"09","15420","09007","15350","CT","Middlesex CT","Clinton town, Middlesex CT","Clinton CDP, CT",1758,1 
"09","15840","09011","15910","CT","New London CT","Colchester town, New London CT","Colchester CDP, CT",2259,1 
"09","16085","09001","83500","CT","Fairfield CT","Westport town, Fairfield CT","Coleytown CDP, CT",1229,1 
"09","16120","09003","12270","CT","Hartford CT","Canton town, Hartford CT","Collinsville CDP, CT",1640,1 
"09","16525","09001","83500","CT","Fairfield CT","Westport town, Fairfield CT","Compo CDP, CT",1382,1 
"09","16960","09011","34250","CT","New London CT","Groton town, New London CT","Conning Towers-Nautilus Park CDP, CT",2827,1 
"09","17170","09005","17240","CT","Litchfield CT","Cornwall town, Litchfield CT","Cornwall CDP, CT",56,1 
"09","17310","09005","17240","CT","Litchfield CT","Cornwall town, Litchfield CT","Cornwall Bridge CDP, CT",151,0.8935 
"09","17310","09005","67960","CT","Litchfield CT","Sharon town, Litchfield CT","Cornwall Bridge CDP, CT",18,0.1065 
"09","17520","09001","33620","CT","Fairfield CT","Greenwich town, Fairfield CT","Cos Cob CDP, CT",2743,1 
"09","17835","09013","17800","CT","Tolland CT","Coventry town, Tolland CT","Coventry Lake CDP, CT",1446,1 
"09","18220","09013","25360","CT","Tolland CT","Ellington town, Tolland CT","Crystal Lake CDP, CT",887,1 
